0x0	0xd
0x5400B0x1ab5B0x137c	0x5409B0x1ab5B0x137c
0x5409B0x1ab5B0x137c	0x5422B0x1ab5B0x137c
0x5396B0x546fB0x1ab5B0x137c	0x539fB0x546fB0x1ab5B0x137c
0x4971B0x4992B0x539fB0x546fB0x1ab5B0x137c	0x497aB0x4992B0x539fB0x546fB0x1ab5B0x137c
0x3603B0x23d7B0x137c	0x3613B0x23d7B0x137c
0x367fB0x23d7B0x137c	0x368fB0x23d7B0x137c
0x35daB0x23d7B0x137c	0x35e9B0x23d7B0x137c
0x35f1B0x23d7B0x137c	0x3603B0x23d7B0x137c
0x3661B0x23d7B0x137c	0x366cB0x23d7B0x137c
0x3679B0x23d7B0x137c	0x367fB0x23d7B0x137c
0x3603B0x25c0B0x137c	0x3613B0x25c0B0x137c
0x367fB0x25c0B0x137c	0x368fB0x25c0B0x137c
0x35daB0x25c0B0x137c	0x35e9B0x25c0B0x137c
0x35f1B0x25c0B0x137c	0x3603B0x25c0B0x137c
0x3661B0x25c0B0x137c	0x366cB0x25c0B0x137c
0x3679B0x25c0B0x137c	0x367fB0x25c0B0x137c
0x3603B0x26daB0x137c	0x3613B0x26daB0x137c
0x367fB0x26daB0x137c	0x368fB0x26daB0x137c
0x35daB0x26daB0x137c	0x35e9B0x26daB0x137c
0x35f1B0x26daB0x137c	0x3603B0x26daB0x137c
0x3661B0x26daB0x137c	0x366cB0x26daB0x137c
0x3679B0x26daB0x137c	0x367fB0x26daB0x137c
0x3603B0x2c4aB0x232fB0x137c	0x3613B0x2c4aB0x232fB0x137c
0x367fB0x2c4aB0x232fB0x137c	0x368fB0x2c4aB0x232fB0x137c
0x35daB0x2c4aB0x232fB0x137c	0x35e9B0x2c4aB0x232fB0x137c
0x35f1B0x2c4aB0x232fB0x137c	0x3603B0x2c4aB0x232fB0x137c
0x3661B0x2c4aB0x232fB0x137c	0x366cB0x2c4aB0x232fB0x137c
0x3679B0x2c4aB0x232fB0x137c	0x367fB0x2c4aB0x232fB0x137c
0x3603B0x320eB0x232fB0x137c	0x3613B0x320eB0x232fB0x137c
0x367fB0x320eB0x232fB0x137c	0x368fB0x320eB0x232fB0x137c
0x35daB0x320eB0x232fB0x137c	0x35e9B0x320eB0x232fB0x137c
0x35f1B0x320eB0x232fB0x137c	0x3603B0x320eB0x232fB0x137c
0x3661B0x320eB0x232fB0x137c	0x366cB0x320eB0x232fB0x137c
0x3679B0x320eB0x232fB0x137c	0x367fB0x320eB0x232fB0x137c
0x1e7aB0x15c7	0x1e89B0x15c7
0x1ef1B0x15c7	0x1ef6B0x15c7
0x4971B0x552dB0x15c7	0x497aB0x552dB0x15c7
0x5586B0x1e55B0x15c7	0x5594B0x1e55B0x15c7
0x49d1B0x5598B0x1e55B0x15c7	0x49dcB0x5598B0x1e55B0x15c7
0x396aB0x2a5aB0x1e6bB0x15c7	0x3996B0x2a5aB0x1e6bB0x15c7
0x39a1B0x2a5aB0x1e6bB0x15c7	0x39ecB0x2a5aB0x1e6bB0x15c7
0x39f5B0x2a5aB0x1e6bB0x15c7	0x3a11B0x2a5aB0x1e6bB0x15c7
0x3a2eB0x2a6bB0x1e6bB0x15c7	0x3a3bB0x2a6bB0x1e6bB0x15c7
0x3a42B0x2a6bB0x1e6bB0x15c7	0x3a48B0x2a6bB0x1e6bB0x15c7
